Dataset,SAX.SEQL,SFglmnet,SAX.SEQLGBM,SAX.SFSEQLGBM,SAX.SFSEQL,type,mtSS.SEQL.LR,mtSFA.SEQL.LR,mtSAX.SEQL.LR,mtSS.SEQL,mtSAX.SEQL,mtSFA.SEQL,SAX.REG.SEQL,SFA.REG.SEQL,Encoder,MCNN,t.LeNet,MCDCNN,Time.CNN,TWIESN,SAXVSM,FS,HIVE.COTE,MLP,FCN,ResNet,WEASEL,DTW_CV,DTW,BOSS,LearningShapelet,TSBF,ST,EE_PROP,Flat.COTE
Symbols,0.2753768844221105,0.3065327,0.27738693467336684,0.20804020100502507,0.19095477386934678,IMAGE,0.032,0.032,0.037000000000000005,0.025,0.019,0.033,0.136,0.095,0.179,0.774,0.826,0.244,0.19,0.25,0.37799999999999995,0.066,0.026000000000000002,0.147,0.038,0.128,0.038,0.062,0.05,0.033,0.036000000000000004,0.054000000000000006,0.11800000000000001,0.04,0.036000000000000004
ECGFiveDays,0.07433217189314746,0.300813,0.0801393728222996,0.04413472706155631,0.10104529616724733,ECG,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.027999999999999997,0.018000000000000002,0.501,0.503,0.23800000000000002,0.11800000000000001,0.302,0.045,0.002,0.0,0.03,0.015,0.045,0.0,0.203,0.23199999999999998,0.0,0.0,0.12300000000000001,0.016,0.18,0.001
InlineSkate,0.7054545454545454,0.7763636,0.7363636363636363,0.6581818181818182,0.6545454545454545,MOTION,0.545,0.555,0.5529999999999999,0.5820000000000001,0.584,0.58,0.713,0.649,0.708,0.833,0.835,0.785,0.713,0.67,0.589,0.8109999999999999,0.5,0.649,0.589,0.635,0.387,0.613,0.616,0.484,0.573,0.615,0.627,0.54,0.505
Ham,0.3523809523809524,0.3714286,0.33333333333333326,0.3523809523809524,0.2952380952380952,SPECTRO,0.28600000000000003,0.314,0.257,0.28600000000000003,0.23800000000000002,0.295,0.295,0.248,0.273,0.494,0.486,0.267,0.289,0.27699999999999997,0.19,0.35200000000000004,0.33299999999999996,0.28600000000000003,0.23800000000000002,0.21899999999999997,0.34299999999999997,0.4,0.5329999999999999,0.33299999999999996,0.33299999999999996,0.23800000000000002,0.314,0.429,0.35200000000000004
CricketX,0.4666666666666667,0.5897436,0.5974358974358974,0.3717948717948718,0.42820512820512824,MOTION,0.185,0.23800000000000002,0.221,0.215,0.24100000000000002,0.26899999999999996,0.485,0.436,0.306,0.8109999999999999,0.9259999999999999,0.505,0.44799999999999995,0.37799999999999995,0.262,0.515,0.177,0.431,0.185,0.179,0.23600000000000002,0.228,0.24600000000000002,0.264,0.209,0.295,0.228,0.187,0.192
Herring,0.421875,0.40625,0.46875,0.453125,0.390625,IMAGE,0.391,0.375,0.406,0.391,0.43799999999999994,0.375,0.42200000000000004,0.359,0.414,0.406,0.406,0.4,0.461,0.409,0.375,0.469,0.312,0.313,0.297,0.406,0.344,0.469,0.469,0.45299999999999996,0.375,0.359,0.32799999999999996,0.42200000000000004,0.375
Yoga,0.2396666666666667,0.384,0.3646666666666667,0.22233333333333336,0.23066666666666663,IMAGE,0.094,0.10400000000000001,0.1,0.121,0.125,0.122,0.231,0.20600000000000002,0.18,0.46399999999999997,0.46399999999999997,0.23800000000000002,0.21899999999999997,0.39299999999999996,0.16,0.305,0.08199999999999999,0.145,0.155,0.142,0.091,0.156,0.16399999999999998,0.08199999999999999,0.15,0.18100000000000002,0.182,0.121,0.12300000000000001
ShapeletSim,0.005555555555555571,0.2444444,0.005555555555555571,0.23888888888888885,0.005555555555555571,SIMULATED,0.0,0.006,0.0,0.017,0.006,0.161,0.006,0.106,0.47,0.5,0.5,0.493,0.5,0.38299999999999995,0.28300000000000003,0.0,0.0,0.517,0.133,0.0,0.0,0.3,0.35,0.0,0.05,0.039,0.044000000000000004,0.183,0.039
UWaveGestureLibraryX,0.4846454494695701,0.4539363,0.6440536013400335,0.3897264098269123,0.3933556672250139,MOTION,0.17800000000000002,0.18899999999999997,0.19699999999999998,0.18899999999999997,0.21,0.201,0.47600000000000003,0.467,0.214,0.8109999999999999,0.875,0.289,0.289,0.39399999999999996,0.47100000000000003,0.305,0.16,0.23199999999999998,0.24600000000000002,0.213,0.19,0.22699999999999998,0.272,0.23800000000000002,0.2,0.16899999999999998,0.19699999999999998,0.195,0.17800000000000002
Haptics,0.5974025974025974,0.6461039,0.6525974025974026,0.5844155844155844,0.5811688311688312,MOTION,0.46799999999999997,0.47700000000000004,0.49,0.48700000000000004,0.519,0.519,0.62,0.588,0.573,0.7909999999999999,0.792,0.596,0.634,0.596,0.62,0.607,0.48100000000000004,0.539,0.449,0.494,0.614,0.588,0.623,0.539,0.532,0.51,0.47700000000000004,0.607,0.47700000000000004
MiddlePhalanxOutlineCorrect,0.34364261168384885,0.347079,0.422680412371134,0.33333333333333326,0.31958762886597936,IMAGE,0.327,0.36,0.325,0.425,0.387,0.42200000000000004,0.36,0.42200000000000004,0.239,0.43,0.43,0.18899999999999997,0.23399999999999999,0.256,0.32299999999999995,0.271,0.168,0.24,0.205,0.207,0.192,0.23399999999999999,0.302,0.23,0.429,0.42200000000000004,0.35700000000000004,0.442,0.364
BirdChicken,0.0,0.5,0.0,0.4,0.0,IMAGE,0.05,0.1,0.1,0.1,0.05,0.1,0.0,0.1,0.335,0.5,0.5,0.42,0.395,0.26,0.0,0.25,0.15,0.2,0.05,0.1,0.2,0.3,0.25,0.05,0.2,0.1,0.2,0.2,0.1
ProximalPhalanxOutlineAgeGroup,0.1609756097560976,0.1707317,0.14146341463414636,0.1609756097560976,0.14634146341463417,IMAGE,0.171,0.171,0.17600000000000002,0.166,0.171,0.151,0.156,0.161,0.156,0.512,0.512,0.162,0.172,0.156,0.17600000000000002,0.22,0.141,0.17600000000000002,0.151,0.151,0.151,0.215,0.195,0.151,0.151,0.127,0.11699999999999999,0.192,0.131
TwoPatterns,0.13524999999999998,0.26625,0.18425000000000002,0.006249999999999978,0.010000000000000009,SIMULATED,0.002,0.013000000000000001,0.002,0.002,0.002,0.012,0.133,0.2,0.0,0.597,0.741,0.022000000000000002,0.008,0.129,0.126,0.092,0.0,0.114,0.10300000000000001,0.0,0.01,0.002,0.0,0.019,0.003,0.134,0.003,0.006999999999999999,0.006999999999999999
Computers,0.32,0.34,0.36,0.29200000000000004,0.31200000000000006,DEVICE,0.29600000000000004,0.316,0.276,0.292,0.272,0.344,0.324,0.336,0.426,0.478,0.5,0.441,0.452,0.371,0.38,0.5,0.24,0.46,0.152,0.17600000000000002,0.344,0.38,0.3,0.244,0.41600000000000004,0.244,0.264,0.292,0.26
CricketY,0.48461538461538467,0.6153846,0.6307692307692307,0.39743589743589747,0.4256410256410257,MOTION,0.16899999999999998,0.203,0.218,0.19699999999999998,0.231,0.23600000000000002,0.49200000000000005,0.508,0.325,0.816,0.915,0.503,0.43,0.344,0.385,0.469,0.151,0.405,0.20800000000000002,0.195,0.21,0.23800000000000002,0.256,0.24600000000000002,0.249,0.264,0.221,0.195,0.174
MiddlePhalanxOutlineAgeGroup,0.5454545454545454,0.4155844,0.42207792207792205,0.512987012987013,0.5454545454545454,IMAGE,0.235,0.23,0.25,0.2,0.222,0.198,0.28,0.24,0.42100000000000004,0.812,0.429,0.415,0.434,0.419,0.455,0.455,0.40299999999999997,0.265,0.23199999999999998,0.24,0.396,0.48100000000000004,0.5,0.435,0.22,0.18600000000000003,0.20600000000000002,0.21600000000000003,0.196
ProximalPhalanxTW,0.24878048780487805,0.9073171,0.25853658536585367,0.2634146341463415,0.29756097560975614,IMAGE,0.188,0.222,0.185,0.17800000000000002,0.17800000000000002,0.192,0.20800000000000002,0.22,0.188,0.649,0.654,0.203,0.217,0.21899999999999997,0.39,0.298,0.185,0.203,0.19,0.193,0.19,0.244,0.244,0.185,0.22399999999999998,0.19,0.195,0.23399999999999999,0.22
InsectWingbeatSound,0.6181818181818182,0.6808081,0.6919191919191919,0.5818181818181818,0.5909090909090908,SENSOR,0.355,0.36,0.396,0.353,0.39399999999999996,0.37200000000000005,0.608,0.5539999999999999,0.36700000000000005,0.8420000000000001,0.909,0.41700000000000004,0.41700000000000004,0.563,0.45299999999999996,0.511,0.345,0.369,0.598,0.469,0.36,0.42200000000000004,0.645,0.47700000000000004,0.39399999999999996,0.375,0.373,0.405,0.34700000000000003
DistalPhalanxOutlineCorrect,0.2789855072463769,0.2898551,0.35869565217391297,0.2644927536231884,0.25,IMAGE,0.198,0.20800000000000002,0.212,0.187,0.2,0.18,0.282,0.242,0.259,0.41700000000000004,0.41700000000000004,0.247,0.24100000000000002,0.287,0.272,0.25,0.228,0.19,0.188,0.18,0.221,0.275,0.28300000000000003,0.261,0.281,0.28800000000000003,0.23,0.309,0.252
MoteStrain,0.24840255591054317,0.2380192,0.2787539936102236,0.202076677316294,0.20287539936102233,SENSOR,0.063,0.077,0.092,0.064,0.09699999999999999,0.077,0.16,0.10400000000000001,0.16,0.49200000000000005,0.461,0.235,0.11800000000000001,0.215,0.20600000000000002,0.223,0.067,0.131,0.05,0.105,0.065,0.134,0.165,0.121,0.087,0.09699999999999999,0.10300000000000001,0.11699999999999999,0.063
SonyAIBORobotSurface2,0.18572927597061906,0.4102833,0.18572927597061906,0.18572927597061906,0.18572927597061906,SENSOR,0.057999999999999996,0.126,0.055,0.071,0.06,0.159,0.11199999999999999,0.141,0.161,0.406,0.38299999999999995,0.226,0.159,0.303,0.184,0.21,0.07200000000000001,0.161,0.038,0.038,0.065,0.141,0.16899999999999998,0.141,0.08199999999999999,0.222,0.066,0.122,0.048
SmallKitchenAppliances,0.2426666666666667,0.2533333,0.264,0.21066666666666667,0.19733333333333336,DEVICE,0.165,0.187,0.152,0.17600000000000002,0.18100000000000002,0.179,0.22399999999999998,0.22399999999999998,0.40399999999999997,0.631,0.667,0.515,0.385,0.344,0.42100000000000004,0.667,0.147,0.611,0.19699999999999998,0.203,0.21100000000000002,0.32799999999999996,0.35700000000000004,0.275,0.336,0.32799999999999996,0.20800000000000002,0.304,0.22399999999999998
MedicalImages,0.43947368421052635,0.4381579,0.46184210526315794,0.39473684210526316,0.42105263157894735,IMAGE,0.28800000000000003,0.316,0.3,0.397,0.38299999999999995,0.397,0.436,0.408,0.266,0.486,0.486,0.36,0.324,0.35100000000000003,0.49200000000000005,0.376,0.222,0.271,0.20800000000000002,0.228,0.259,0.253,0.263,0.282,0.27,0.295,0.33,0.258,0.242
Adiac,0.5473145780051151,0.3810742,0.6470588235294117,0.48849104859335035,0.5319693094629157,IMAGE,0.228,0.19899999999999998,0.263,0.27899999999999997,0.33,0.251,0.545,0.42700000000000005,0.516,0.978,0.98,0.39,0.621,0.584,0.547,0.40700000000000003,0.18899999999999997,0.248,0.14300000000000002,0.174,0.16899999999999998,0.389,0.396,0.235,0.43700000000000006,0.23,0.217,0.335,0.21
CBF,0.19666666666666666,0.05333333,0.2944444444444444,0.05777777777777782,0.04888888888888887,SIMULATED,0.0,0.001,0.001,0.001,0.004,0.001,0.102,0.099,0.053,0.6679999999999999,0.6679999999999999,0.18,0.043,0.11,0.043,0.06,0.001,0.14,0.0,0.006,0.017,0.006,0.003,0.002,0.006,0.012,0.026000000000000002,0.002,0.004
Strawberry,0.04594594594594596,0.2162162,0.14324324324324322,0.037837837837837895,0.0486486486486487,SPECTRO,0.021,0.026000000000000002,0.027999999999999997,0.038,0.034,0.038,0.046,0.039,0.054000000000000006,0.35700000000000004,0.35700000000000004,0.044000000000000004,0.040999999999999995,0.105,0.043,0.09699999999999999,0.03,0.033,0.031,0.042,0.024,0.054000000000000006,0.059000000000000004,0.024,0.08900000000000001,0.046,0.038,0.054000000000000006,0.049
ECG200,0.26,0.28,0.35,0.21,0.19,ECG,0.13,0.13,0.15,0.16,0.17,0.13,0.26,0.23,0.077,0.36,0.36,0.16699999999999998,0.18600000000000003,0.158,0.15,0.19,0.15,0.08,0.1,0.13,0.15,0.12,0.23,0.13,0.126,0.16,0.17,0.12,0.12
BeetleFly,0.4,0.25,0.4,0.15,0.25,IMAGE,0.15,0.1,0.15,0.2,0.15,0.1,0.15,0.05,0.255,0.5,0.5,0.42,0.11,0.27,0.1,0.3,0.05,0.15,0.05,0.2,0.05,0.3,0.3,0.1,0.2,0.2,0.1,0.25,0.2
FacesUCR,0.35073170731707315,0.4229268,0.5009756097560976,0.23804878048780487,0.3014634146341464,IMAGE,0.044000000000000004,0.06,0.071,0.102,0.126,0.11199999999999999,0.319,0.281,0.126,0.847,0.857,0.244,0.131,0.35600000000000004,0.075,0.294,0.037000000000000005,0.185,0.052000000000000005,0.042,0.048,0.08800000000000001,0.095,0.043,0.059000000000000004,0.133,0.094,0.055,0.057999999999999996
FordA,0.1325757575757575,0.4,0.3083333333333333,0.12121212121212124,0.11212121212121218,SENSOR,0.059000000000000004,0.061,0.069,0.069,0.07400000000000001,0.10300000000000001,0.149,0.16899999999999998,0.077,0.48700000000000004,0.49,0.205,0.11900000000000001,0.47200000000000003,0.17300000000000001,0.213,0.036000000000000004,0.231,0.094,0.07200000000000001,0.027000000000000003,0.309,0.445,0.086,0.043,0.15,0.028999999999999998,0.262,0.043
UWaveGestureLibraryY,0.5692350642099386,0.5114461,0.6549413735343383,0.4952540480178671,0.49218313791178114,MOTION,0.245,0.254,0.287,0.253,0.293,0.264,0.565,0.5770000000000001,0.304,0.763,0.879,0.364,0.374,0.48,0.588,0.40399999999999997,0.235,0.297,0.275,0.332,0.275,0.301,0.366,0.315,0.287,0.264,0.27,0.27399999999999997,0.24100000000000002
Earthquakes,0.2877697841726619,0.2517986,0.2661870503597122,0.30215827338129503,0.2805755395683454,SENSOR,0.177,0.183,0.18,0.177,0.183,0.177,0.21100000000000002,0.22699999999999998,0.252,0.252,0.252,0.251,0.3,0.252,0.252,0.295,0.252,0.20800000000000002,0.19899999999999998,0.214,0.252,0.273,0.281,0.252,0.259,0.252,0.259,0.259,0.252
ScreenType,0.5573333333333333,0.5946667,0.5066666666666666,0.5013333333333334,0.5146666666666666,DEVICE,0.499,0.52,0.456,0.493,0.496,0.531,0.539,0.637,0.617,0.659,0.667,0.573,0.611,0.569,0.488,0.5870000000000001,0.41100000000000003,0.5920000000000001,0.33299999999999996,0.293,0.45299999999999996,0.589,0.603,0.536,0.5710000000000001,0.491,0.48,0.555,0.45299999999999996
Plane,0.02857142857142858,0.00952381,0.02857142857142858,0.02857142857142858,0.00952380952380949,SENSOR,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.024,0.87,0.866,0.035,0.035,0.0,0.01,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wine,0.4444444444444444,0.3333333,0.2222222222222223,0.3703703703703704,0.42592592592592593,SPECTRO,0.204,0.222,0.14800000000000002,0.16699999999999998,0.16699999999999998,0.24100000000000002,0.444,0.315,0.5,0.5,0.5,0.5,0.483,0.24100000000000002,0.037000000000000005,0.24100000000000002,0.222,0.204,0.111,0.204,0.14800000000000002,0.389,0.426,0.259,0.5,0.389,0.204,0.426,0.35200000000000004
ItalyPowerDemand,0.3090379008746356,0.1827017,0.34888241010689997,0.22060252672497568,0.20602526724975703,SENSOR,0.057,0.057,0.094,0.06,0.095,0.057,0.266,0.11,0.035,0.5,0.501,0.045,0.045,0.12,0.184,0.083,0.037000000000000005,0.034,0.03,0.04,0.049,0.045,0.05,0.091,0.03,0.11699999999999999,0.052000000000000005,0.038,0.039
ToeSegmentation1,0.14912280701754382,0.372807,0.1710526315789474,0.1666666666666667,0.1315789473684211,MOTION,0.048,0.053,0.044000000000000004,0.048,0.048,0.075,0.083,0.048,0.341,0.495,0.474,0.51,0.405,0.135,0.07,0.044000000000000004,0.018000000000000002,0.39899999999999997,0.031,0.035,0.053,0.25,0.228,0.061,0.066,0.21899999999999997,0.035,0.171,0.026000000000000002
PhalangesOutlinesCorrect,0.386946386946387,0.3566434,0.386946386946387,0.35780885780885785,0.3531468531468532,IMAGE,0.18100000000000002,0.20600000000000002,0.212,0.196,0.205,0.195,0.28300000000000003,0.28800000000000003,0.233,0.387,0.387,0.19699999999999998,0.22899999999999998,0.34600000000000003,0.29,0.256,0.193,0.17,0.174,0.175,0.183,0.239,0.272,0.228,0.235,0.17,0.237,0.22699999999999998,0.23
ShapesAll,0.44166666666666665,0.3866667,0.5516666666666667,0.235,0.3916666666666667,IMAGE,0.065,0.073,0.075,0.1,0.142,0.122,0.345,0.317,0.242,0.868,0.983,0.387,0.381,0.371,0.302,0.42,0.095,0.225,0.102,0.08800000000000001,0.08199999999999999,0.198,0.23199999999999998,0.092,0.23199999999999998,0.815,0.158,0.133,0.10800000000000001
